store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,104363838_PPLBDD8904362534994NM2,2026-04-10T11:25:36Z,274.36
STORE_BLR_002,104377545_PPLB1252GV559NM4,2026-04-10T13:51:55Z,99.00
STORE_BLR_002,104362899_PPLBFC8903380039689,2026-04-10T11:15:32Z,553.17
STORE_BLR_002,104373042_PPLB8809783326718,2026-04-10T13:11:51Z,1448.18
STORE_BLR_002,104375288_PPLB383FC203NV,2026-04-10T13:32:09Z,466.67
STORE_BLR_002,104346717_PPLB1252GV559NM4,2026-04-10T08:11:55Z,49.50
STORE_BLR_002,104380754_PPLB1252GV559NM4,2026-04-10T14:24:02Z,198.00
STORE_BLR_002,104341290_PPLBPURPLLEGWP8903380043419,2026-04-10T07:12:18Z,1.00
STORE_BLR_002,104373042_PPLBPURPLLE8904362535304,2026-04-10T13:11:51Z,0.80
STORE_BLR_002,104369411_PPLBNYBAE8904362533614,2026-04-10T12:25:02Z,215.67
STORE_BLR_002,104338647_PPLBFC8903380039030,2026-04-10T06:45:05Z,302.33
STORE_BLR_002,104341290_PPLB383FC8903380035810,2026-04-10T07:12:18Z,397.38
STORE_BLR_002,104346717_PPLB1252GV1950,2026-04-10T08:11:55Z,49.50
STORE_BLR_002,104347785_PPLBCB01,2026-04-10T08:25:16Z,0.00
STORE_BLR_002,104383803_PPLBNYBAE8904362533614,2026-04-10T14:55:04Z,224.31
STORE_BLR_002,104377545_PPLB9683370002379,2026-04-10T13:51:55Z,299.39
STORE_BLR_002,104341290_PPLBST8906121645460,2026-04-10T07:12:18Z,199.00
STORE_BLR_002,104378732_PPLB1299CARM35NM1,2026-04-10T14:03:52Z,249.00
STORE_BLR_002,104341290_PPLBFC8903380007251,2026-04-10T07:12:18Z,614.54
STORE_BLR_002,104350137_PPLB8903380024760,2026-04-10T08:53:21Z,225.00
STORE_BLR_002,104363838_PPLBAG8904362532426NM2,2026-04-10T11:25:36Z,181.76
STORE_BLR_002,104359750_PPLP6902395748724NM5,2026-04-10T10:38:03Z,799.00
STORE_BLR_002,104362899_PPLBCB01,2026-04-10T11:15:32Z,0.00
STORE_BLR_002,104341290_PPLBFC8903380033892,2026-04-10T07:12:18Z,469.77
STORE_BLR_002,104379480_PPLB8904409745697ST,2026-04-10T14:11:29Z,450.00
STORE_BLR_002,104362899_PPLBFC8903380023725,2026-04-10T11:15:32Z,691.64
STORE_BLR_002,104383803_PPLBNYBAE8904362533041,2026-04-10T14:55:04Z,224.31
STORE_BLR_002,104370397_PPLB8901030979057NM1,2026-04-10T12:37:14Z,495.00
STORE_BLR_002,104358212_PPLBJC8906133453305,2026-04-10T10:20:44Z,400.00
STORE_BLR_002,104341290_PPLB8903380000658,2026-04-10T07:12:18Z,397.38
STORE_BLR_002,104357849_PPLB8903380001501,2026-04-10T10:16:39Z,599.00
STORE_BLR_002,104379480_PPLB1252GV559NM4,2026-04-10T14:11:29Z,99.00
STORE_BLR_002,104341290_PPLB8908018477031NM2,2026-04-10T07:12:18Z,445.50
STORE_BLR_002,104363838_PPLBAG8904362533157NVNM1,2026-04-10T11:25:36Z,273.67
STORE_BLR_002,104353598_PPLBDD8904362529877,2026-04-10T09:32:20Z,314.80
STORE_BLR_002,104377545_PPLBFC8903380039368,2026-04-10T13:51:55Z,1221.65
STORE_BLR_002,104368521_PPLBNYBAE8904362532983,2026-04-10T12:14:44Z,299.00
STORE_BLR_002,104346717_PPLB1252GV1945,2026-04-10T08:11:55Z,49.50
STORE_BLR_002,104363838_PPLB1299CARM120,2026-04-10T11:25:36Z,249.00
STORE_BLR_002,104341290_PPLB8903380000382,2026-04-10T07:12:18Z,216.42
STORE_BLR_002,104375288_PPLBCB01,2026-04-10T13:32:09Z,0.00
STORE_BLR_002,104346717_PPLB1252GV1942,2026-04-10T08:11:55Z,49.50
STORE_BLR_002,104362899_PPLB8809738316146,2026-04-10T11:15:32Z,1278.00
STORE_BLR_002,104341290_PPLBFC8903380039375,2026-04-10T07:12:18Z,1085.03
STORE_BLR_002,104377545_PPLB1252GV1950,2026-04-10T13:51:55Z,99.00
STORE_BLR_002,104370397_PPLB8901030701498NM3,2026-04-10T12:37:14Z,198.00
STORE_BLR_002,104341290_PPLB8906000424421NM3,2026-04-10T07:12:18Z,172.80
STORE_BLR_002,104383803_PPLBCB01,2026-04-10T14:55:04Z,0.00
STORE_BLR_002,104378732_PPLB8809416471112,2026-04-10T14:03:52Z,765.00
STORE_BLR_002,104379480_PPLB1252GV1950,2026-04-10T14:11:29Z,49.50
STORE_BLR_002,104358212_PPLBCB01,2026-04-10T10:20:44Z,0.00
STORE_BLR_002,104363838_PPLB1359AG440NP1NT2,2026-04-10T11:25:36Z,188.62
STORE_BLR_002,104369411_PPLBNYBAE8904362533584,2026-04-10T12:25:02Z,215.67
STORE_BLR_002,104341290_PPLBFC8903380039030,2026-04-10T07:12:18Z,288.81
STORE_BLR_002,104369411_PPLB1296NYBAE1502NT7,2026-04-10T12:25:02Z,237.31
STORE_BLR_002,104363838_PPLB8906133450670,2026-04-10T11:25:36Z,350.00
STORE_BLR_002,104369411_PPLBNYBAE8904362527385,2026-04-10T12:25:02Z,179.60
STORE_BLR_002,104389493_PPLB002421NM6,2026-04-10T15:46:15Z,269.10
STORE_BLR_002,104377545_PPLBFC8903380039719,2026-04-10T13:51:55Z,599.00
STORE_BLR_002,104373042_PPLB8906157902087,2026-04-10T13:11:51Z,615.09
STORE_BLR_002,104377545_PPLB8903380160635NM2,2026-04-10T13:51:55Z,569.67
STORE_BLR_002,104380754_PPLB0228901526301614NM2,2026-04-10T14:24:02Z,313.64
STORE_BLR_002,104341290_PPLB1252GV1950,2026-04-10T07:12:18Z,315.00
STORE_BLR_002,104341290_PPLB383FC375,2026-04-10T07:12:18Z,325.00
STORE_BLR_002,104375288_PPLB383FC8903380036657,2026-04-10T13:32:09Z,299.76
STORE_BLR_002,104353598_PPLBDD8904362530620NM2,2026-04-10T09:32:20Z,255.34
STORE_BLR_002,104375288_PPLB383FC202NV,2026-04-10T13:32:09Z,933.34
STORE_BLR_002,104375288_PPLB383FC374,2026-04-10T13:32:09Z,299.76
STORE_BLR_002,104378732_PPLB1296NYBAE1355NT9,2026-04-10T14:03:52Z,99.00
STORE_BLR_002,104377545_PPLBCB02,2026-04-10T13:51:55Z,0.00
STORE_BLR_002,104338647_PPLB8903380000399NM1,2026-04-10T06:45:05Z,491.77
STORE_BLR_002,104363838_PPLB1569DD209NP1NM2,2026-04-10T11:25:36Z,240.06
STORE_BLR_002,104341290_PPLB1252GV1971,2026-04-10T07:12:18Z,90.00
STORE_BLR_002,104369411_PPLBNYB8904362526777,2026-04-10T12:25:02Z,287.80
STORE_BLR_002,104391745_PPLBST8908016593375,2026-04-10T16:09:55Z,427.50
STORE_BLR_002,104379480_PPLB8809416470009NM8,2026-04-10T14:11:29Z,1305.00
STORE_BLR_002,104369867_PPLBFC8903380031966,2026-04-10T12:30:18Z,149.00
STORE_BLR_002,104362899_PPLBPURPLLE8904362535304,2026-04-10T11:15:32Z,1.00
STORE_BLR_002,104362899_PPLB8903380006308NM2,2026-04-10T11:15:32Z,553.17
STORE_BLR_002,104380754_PPLBST8906155740179NM3,2026-04-10T14:24:02Z,121.50
STORE_BLR_002,104341290_PPLB8903380007183NM1,2026-04-10T07:12:18Z,614.54
STORE_BLR_002,104341290_PPLB00640806360681008NM9,2026-04-10T07:12:18Z,321.00
STORE_BLR_002,104377545_PPLB8906000424421NM3,2026-04-10T13:51:55Z,172.80
STORE_BLR_002,104341290_PPLB6902395501992NM7,2026-04-10T07:12:18Z,275.00
STORE_BLR_002,104363838_PPLBDD8904362531801NFW1NT2,2026-04-10T11:25:36Z,291.50
STORE_BLR_002,104341290_PPLBFC8903380039689,2026-04-10T07:12:18Z,578.34
STORE_BLR_002,104341290_PPLB1252GV1973,2026-04-10T07:12:18Z,198.00
STORE_BLR_002,104341290_PPLB1252GV559NM4,2026-04-10T07:12:18Z,90.00
STORE_BLR_002,104341290_PPLBCB8903380040531NM1,2026-04-10T07:12:18Z,0.00
STORE_BLR_002,104341290_PPLB8903380004014,2026-04-10T07:12:18Z,578.34
STORE_BLR_002,104341290_PPLBFC8903380036237,2026-04-10T07:12:18Z,249.00
STORE_BLR_002,104380754_PPLB6902395832676,2026-04-10T14:24:02Z,721.65
STORE_BLR_002,104383803_PPLBFC8903380036824,2026-04-10T14:55:04Z,449.37
STORE_BLR_002,104379480_PPLB1252GV1942,2026-04-10T14:11:29Z,49.50
STORE_BLR_002,104377545_PPLB383FC50,2026-04-10T13:51:55Z,406.67
STORE_BLR_002,104347785_PPLB1299CARM69,2026-04-10T08:25:16Z,199.00
STORE_BLR_002,104353598_PPLBDD8904362512961NT9,2026-04-10T09:32:20Z,244.84
STORE_BLR_002,104341290_PPLB8903380027051,2026-04-10T07:12:18Z,321.38
STORE_BLR_002,104338647_PPLB383FC255,2026-04-10T06:45:05Z,453.88
STORE_BLR_002,104375288_PPLB8903380027051,2026-04-10T13:32:09Z,296.43
STORE_BLR_002,104369411_PPLBNYBAE8904362535908,2026-04-10T12:25:02Z,359.93
